scenario,strategy,selected_node,completed_tasks,failed_tasks,deadline_success_rate,average_execution_time,average_selection_score,average_resource_suitability,average_dynamic_qos,edge_01_usage,edge_02_usage,cloud_01_usage
normal,full,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,84.75,85.62,84.75,2,2,0
normal,no_priority,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,67.75,85.62,84.75,2,2,0
normal,no_deadline,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,64.35,85.62,84.75,2,2,0
normal,resource_only,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,85.62,85.62,84.75,2,2,0
high_cpu,full,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,83.06,84.08,83.06,3,0,1
high_cpu,no_priority,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,66.06,84.08,83.06,3,0,1
high_cpu,no_deadline,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,63.44,84.08,83.06,3,0,1
high_cpu,resource_only,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,84.08,84.08,83.06,3,0,1
high_memory,full,"edge-02,edge-01,cloud-01,edge-01",4,0,100.0,7.67,83.34,84.5,83.34,2,1,1
high_memory,no_priority,"edge-02,edge-01,cloud-01,edge-01",4,0,100.0,7.67,66.34,84.5,83.34,2,1,1
high_memory,no_deadline,"edge-02,edge-01,cloud-01,edge-01",4,0,100.0,7.67,63.73,84.5,83.34,2,1,1
high_memory,resource_only,"edge-02,edge-01,cloud-01,edge-01",4,0,100.0,7.67,84.5,84.5,83.34,2,1,1
high_latency,full,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,83.06,84.08,83.06,3,0,1
high_latency,no_priority,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,66.06,84.08,83.06,3,0,1
high_latency,no_deadline,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,63.44,84.08,83.06,3,0,1
high_latency,resource_only,"edge-01,edge-01,cloud-01,edge-01",4,0,100.0,7.55,84.08,84.08,83.06,3,0,1
tight_deadline,full,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,76.5,85.62,76.5,2,2,0
tight_deadline,no_priority,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,59.5,85.62,76.5,2,2,0
tight_deadline,no_deadline,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,64.35,85.62,76.5,2,2,0
tight_deadline,resource_only,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,85.62,85.62,76.5,2,2,0
priority_conflict,full,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,86.75,85.62,86.75,2,2,0
priority_conflict,no_priority,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,70.75,85.62,86.75,2,2,0
priority_conflict,no_deadline,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,68.4,85.62,86.75,2,2,0
priority_conflict,resource_only,"edge-01,edge-02,edge-02,edge-01",4,0,100.0,5.75,85.62,85.62,86.75,2,2,0
resource_deadline_pressure,full,"edge-01,edge-01,cloud-01,edge-01",3,1,75.0,7.55,73.94,84.08,73.94,3,0,1
resource_deadline_pressure,no_priority,"edge-01,edge-01,cloud-01,edge-01",3,1,75.0,7.55,56.94,84.08,73.94,3,0,1
resource_deadline_pressure,no_deadline,"edge-01,edge-01,cloud-01,edge-01",3,1,75.0,7.55,63.44,84.08,73.94,3,0,1
resource_deadline_pressure,resource_only,"edge-01,edge-01,cloud-01,edge-01",3,1,75.0,7.55,84.08,84.08,73.94,3,0,1
deadline_resource_tradeoff,full,edge-01,1,0,100.0,5.0,74.6,55.25,74.6,1,0,0
deadline_resource_tradeoff,no_priority,edge-01,1,0,100.0,5.0,44.6,55.25,74.6,1,0,0
deadline_resource_tradeoff,no_deadline,cloud-01,0,1,0.0,13.5,55.51,63.78,66.62,0,0,1
deadline_resource_tradeoff,resource_only,cloud-01,0,1,0.0,13.5,63.78,63.78,66.62,0,0,1
